,hour,lat,lon,k,CO_interpolate,NO2_interpolate,PM25_interpolate
0,1,-12.04450424,-77.07684871,5,905.3455571391092,23.322200000000006,16.579199999720863
0,2,-12.04450424,-77.07684871,5,867.8740314143874,16.4288576660359,13.077399999999995
0,3,-12.04450424,-77.07684871,5,769.7760439394928,15.266999999999747,14.882
0,4,-12.04450424,-77.07684871,5,768.3716251399234,15.241400000000002,16.2318
0,5,-12.04450424,-77.07684871,5,711.8380349356639,15.588200000000002,18.044999999999995
0,1,-12.05252969,-77.07267266,5,905.3455570894862,23.322200000000006,16.579199999720863
0,2,-12.05252969,-77.07267266,5,867.874031295171,16.4288576660359,13.077399999999995
0,3,-12.05252969,-77.07267266,5,769.776043583951,15.266999999999747,14.882
0,4,-12.05252969,-77.07267266,5,768.3716234484838,15.241400000000002,16.2318
0,5,-12.05252969,-77.07267266,5,711.8380339578105,15.588200000000002,18.044999999999995
0,1,-12.04850083,-77.06487536,5,905.3455541223977,23.32220000000001,16.57919999972086
0,2,-12.04850083,-77.06487536,5,867.8740290721818,16.428857666035896,13.077399999999995
0,3,-12.04850083,-77.06487536,5,769.7760410124323,15.266999999999745,14.882
0,4,-12.04850083,-77.06487536,5,768.3716194549135,15.241400000000002,16.2318
0,5,-12.04850083,-77.06487536,5,711.8380317714028,15.588200000000002,18.044999999999995
0,1,-12.0601624,-77.04162812,5,1023.5407857205147,24.140717680491456,15.377812016107788
0,2,-12.0601624,-77.04162812,5,1007.992717272672,17.03878486254549,12.50887022113321
0,3,-12.0601624,-77.04162812,5,923.9676287545368,14.505481246104106,14.189215912749582
0,4,-12.0601624,-77.04162812,5,953.5665717715044,14.5768346139377,14.610136902835869
0,5,-12.0601624,-77.04162812,5,949.7132772772071,15.483199999999993,17.173086159287422
0,1,-12.0434041,-77.04336517,5,526.5035195898005,23.790600000000012,12.72288366342512
0,2,-12.0434041,-77.04336517,5,556.9183312170071,16.9969291725048,9.750719360162348
0,3,-12.0434041,-77.04336517,5,462.9593628369619,14.426800000000004,10.598582216493877
0,4,-12.0434041,-77.04336517,5,438.0964841870235,14.327199999953708,11.245827890391027
0,5,-12.0434041,-77.04336517,5,504.91579503388385,14.24979999999999,13.108216913582112
0,1,-12.04754028,-77.0540217,5,700.3469661544966,23.886599999999994,14.675952776333686
0,2,-12.04754028,-77.0540217,5,696.447181420544,16.936868264065254,11.206802409487828
0,3,-12.04754028,-77.0540217,5,587.9968030306323,14.23570491655639,12.42324858367345
0,4,-12.04754028,-77.0540217,5,531.3027140339416,14.6562,13.114095081745337
0,5,-12.04754028,-77.0540217,5,568.7646421073135,14.981799999999998,15.118186214327729
0,1,-12.05068076,-77.03864895,5,580.3171988852561,23.463993661478913,12.339733261020077
0,2,-12.05068076,-77.03864895,5,576.2430439135114,16.47664313446809,9.40849841795883
0,3,-12.05068076,-77.03864895,5,499.7302539265613,13.501188720456408,10.442428478256756
0,4,-12.05068076,-77.03864895,5,420.171398716573,13.618705691536876,10.845173645523163
0,5,-12.05068076,-77.03864895,5,491.76277346693416,14.797047449562193,13.097521991409351
0,1,-12.04892278,-77.02926448,5,1450.527430555786,22.007656064235555,10.3626
0,2,-12.04892278,-77.02926448,5,1328.7698723970425,15.613797069868825,8.750999999999998
0,3,-12.04892278,-77.02926448,5,1190.1999775738502,12.027822313588898,9.645
0,4,-12.04892278,-77.02926448,5,1161.765007369309,11.523129569541378,10.3046
0,5,-12.04892278,-77.02926448,5,1214.4673302685605,12.917349865261873,11.894
0,1,-12.05972153,-77.03578787,5,891.355433132675,23.86094050930339,12.232713419036793
0,2,-12.05972153,-77.03578787,5,871.2679037395081,15.986200000000002,9.843400000078912
0,3,-12.05972153,-77.03578787,5,812.4117397299933,13.878864420698946,11.185864155464914
0,4,-12.05972153,-77.03578787,5,810.235948314582,14.088211180091154,11.438999999999998
0,5,-12.05972153,-77.03578787,5,854.4499522667585,15.149203049264308,13.954799999999993
0,1,-12.05347333,-77.03151512,5,938.9397350650088,21.468282060054186,11.822999999999999
0,2,-12.05347333,-77.03151512,5,912.180142240165,15.120948216078133,9.111200000000004
0,3,-12.05347333,-77.03151512,5,855.2965400289936,11.937387354777506,9.888599999999999
0,4,-12.05347333,-77.03151512,5,838.2874223554863,12.0472,10.4064
0,5,-12.05347333,-77.03151512,5,900.9280673591859,13.555056057722648,12.643
0,1,-12.03563722,-77.03044477,5,1314.994001500679,22.903704043163604,10.5356
0,2,-12.03563722,-77.03044477,5,1226.9358597699138,17.346272531382624,8.353199999999998
0,3,-12.03563722,-77.03044477,5,1099.290449353637,13.164211589150106,8.9422
0,4,-12.03563722,-77.03044477,5,1093.9438141114836,12.728800000000003,9.6038
0,5,-12.03563722,-77.03044477,5,1185.529969546001,13.531573465923806,11.381599999999999
0,1,-12.05046177,-77.02258352,5,1407.7879665623357,21.86958351827371,9.939599999999999
0,2,-12.05046177,-77.02258352,5,1238.994678186496,15.474420536809241,8.595199999999998
0,3,-12.05046177,-77.02258352,5,1094.1794372529205,12.164626187554106,8.879200000000003
0,4,-12.05046177,-77.02258352,5,1138.242879967353,11.862439618120368,9.44899999999999
0,5,-12.05046177,-77.02258352,5,1222.7255797744892,12.64045332861759,10.9784
